"scss/title/cart__discount__button_background-color","Hintergrundfarbe"
"scss/title/cart__discount__button_color","Textfarbe"
"scss/title/cart__cart-totals__table_background-color","Hintergrundfarbe"
"scss/title/cart__cart-totals__table_color","Textfarbe"
"scss/title/cart__cart-totals__total_color","Textfarbe der Gesamtsumme"
"scss/title/checkout-onepage__step-title_color","Textfarbe"
"scss/title/checkout-onepage__step-title_active_color","Textfarbe Aktiv"
"scss/title/checkout-onepage__step-title_border-bottom-color","Linienfarbe"
"scss/title/checkout-onepage__step-title_font","Schriftart"
"scss/title/checkout-onepage__step-title_font-weight","Schriftstärke"
"scss/title/checkout-onepage__step-title_font-size","Schriftgröße"
"scss/title/checkout-onepage__step-title_text-transform","Schreibweise"
"scss/title/checkout-onepage__buttons_background-color","Hintergrundfarbe"
"scss/title/checkout-onepage__buttons_color","Textfarbe"
"scss/title/checkout-onepage__buttons_font","Schriftart"
"scss/title/checkout-onepage__buttons_font-weight","Schriftstärke"
"scss/title/checkout-onepage__buttons_font-size","Schriftgröße"
"scss/title/checkout-onepage__buttons_text-transform","Schreibweise"
"scss/title/checkout-onepage__progress-title_background-color","Hintergrundfarbe"
"scss/title/checkout-onepage__progress-title_color","Textfarbe"
"scss/title/checkout-onepage__progress-title_font","Schriftart"
"scss/title/checkout-onepage__progress-title_font-weight","Schriftstärke"
"scss/title/checkout-onepage__progress-title_font-size","Schriftgröße"
"scss/title/checkout-onepage__progress-title_text-transform","Schreibweise"
"scss/title/account__block-content__list_color","Textfarbe"
"scss/title/account__block-content__list__current_background-color","Aktiv Hintergrundfarbe"
"scss/title/account__block-content__list__current_color","Textfarbe Aktiv"
"scss/title/product-compare__item__product-image_background-color","Hintergrundfarbe"
"scss/description/google_fonts","Wähle die Google Schriftart, die du in deinem Shop nutzen möchtest"
"scss/description/color--primary","Eingesetzt für Farben, die nicht einzeln definiert werden, Button Hintergrundfarben und um weitere Farbstufen zu erzeugen"
"scss/description/color--secondary","Eingesetzt für: Hintergrund, Text der ersten Navigationsebene, Button-Text und um weitere Farbstufen zu erzeugen"
"scss/description/color--third","Genutzt als Hintergrund für Aktions Buttons, Warenkorb Artikelzähler, Verfügbarkeit ""Auf Lager"", Links und für weitere Fraben"
"scss/description/color--fourth","Erzeugt weitere Farbstufen"
"scss/description/color--fifth",""
"scss/description/page_background-color","Hintergrundfarbe jeder Seite"
"scss/description/page_color","Textfarbe auf jeder Seite (wo Textfarbe nicht separat gesteuert wird)"
"scss/description/page-container_background-color","Hintergrundfarbe des Inhaltsbereichs auf jeder Seite"
"scss/description/font_base","Generelle Schriftart, eingesetzt für alle Bereiche, in denen Schriftart nicht einzeln definiert wird."
"scss/description/font-weight","Generelle Schriftstärke"
"scss/description/font-style","Genereller Schriftstil"
"scss/description/font-family-base","Generelle Schriftfamilie"
"scss/description/font-size","Generelle Schriftgröße"
"scss/description/line-height","Generelle Zeilenhöhe"
"scss/description/page-main_background-color","Hintergrundfarbe des Inhaltsbereichs außer Header und Footer"
"scss/description/page-main_color","Textfarbe des Inhaltsbereichs (wo nicht separat gesteuert) außer Header und Footer"
"scss/description/page-title_color","Textfarbe des Seitentitels auf Bestellseite, Warenkorb, Produktdetailseite, Vergleichsliste, Login, Registrierung, Erfolgsseite"
"scss/description/page-title_font",""
"scss/description/page-title_font-size",""
"scss/description/page-subtitle_color","Textfarbe von Ähnlichen Produkten, Empfehlungen, Untertitel neuer Neue Produkte"
"scss/description/page-subtitle_font",""
"scss/description/page-subtitle_font-size",""
"scss/description/data-table__th_background-color","Hintergrundfarbe des Datentabellen Headers"
"scss/description/data-table__th_color","Kopf Hintergrundfarbe von Datentabellen"
"scss/description/data-table__td_background-color","Körper Hintergrundfarbe von Datentabellen"
"scss/description/data-table__td_color","Körper Textfarbe von Datentabellen"
"scss/description/data-table_border-color","Linienfarbe der Datentabellen"
"scss/description/block__block-title_background-color","Hintergrundfarbe von Überschriften in seitlichen Blöcken (z.B. Zuletzt angesehene Produkte, Schlagworte, PayPal, Wunschzettel)"
"scss/description/block__block-title_color","Textfarbe der Überschriften seitlicher Blöcke (z.B. Zuletzt angesehene Produkte, Schlagworte, PayPal, Wunschzettel)"
"scss/description/breadcrumbs_display","Anzeigemodus der Brotkrumennavigation auf jeder Seite"
"scss/description/breadcrumbs_color","Textfarbe der Brotkrumennavigation auf jeder Seite"
"scss/description/breadcrumbs__leaf_color","Textfarbe einer aktiven Seite in Brotkrumennavigation auf jeder Seite"
"scss/description/breadcrumbs_font",""
"scss/description/breadcrumbs_font-weight",""
"scss/description/breadcrumbs_font-size",""
"scss/description/breadcrumbs_text-transform",""
"scss/description/badge--sale_display","Anzeigemodus des Sale Labels"
"scss/description/badge--sale_background-color","Hintergrundfarbe des Sale Labels"
"scss/description/badge--sale_color","Textfarbe des Sale Labels"
"scss/description/badge--new_display","Anzeigemodus des New Labels"
"scss/description/badge--new_background-color","Hintergrundfarbe des Neu Labels"
"scss/description/badge--new_color","Textfarbe des Neu Labels"
"scss/description/badge_font",""
"scss/description/badge_font-weight",""
"scss/description/badge_font-size",""
"scss/description/badge_text-transform",""
"scss/description/message--error__background-color","Hintergrundfarbe Fehlermeldungen"
"scss/description/message--notice_background-color","Hintergrundfarbe Info-Meldungen"
"scss/description/message--success_background-color","Hintergrundfarbe von Erfolgsmeldungen"
"scss/description/page-header_background-color","Hintergrundfarbe Header"
"scss/description/page-header_color","Textfarbe Header, wie: Warenkorb Text, aktive Links und Mouseover von Links"
"scss/description/page-header_link_color","Linkfarbe Header außer Warenkorb Text und aktive Links"
"scss/description/header_separator-line_border-color","Trennlinie Links"
"scss/description/mini-cart__link_color","Mini Warenkorb Linkfarbe"
"scss/description/mini-cart__link--hover_color","Warenkorb Mouseover Linkfarbe"
"scss/description/mini-cart__block-content_background-color","Hintergrundfarbe Mini Warenkorb Block"
"scss/description/mini-cart__block-content_color","Textfarbe Mini Warenkorb Block"
"scss/description/page-footer_background-color",""
"scss/description/page-footer_color","Textfarbe Footer"
"scss/description/page-footer_link-color","Linkfarbe Footer"
"scss/description/page-footer__link--hover_color","Farbe der Links bei Mouseover"
"scss/description/page-footer__marketing-box--shipping_color","Textfarbe Footer im linken Bereich"
"scss/description/page-footer__marketing-box--support_color","Textfarbe Footer im mittleren Bereich"
"scss/description/page-footer__marketing-box--newsletter_color","Textfarbe Footer im Newsletter Bereich"
"scss/description/nav--primary_background-color","Hintergrundfarbe Navigation Level 1"
"scss/description/nav--primary__level0-list-separator_color","Farbe der Trennlinien zwischen den Links der Navigation"
"scss/description/nav--primary__level0-link_color","Textfarbe Level 1"
"scss/description/nav--primary__level0-link--hover_color","Mouseover Textfarbe Level 1"
"scss/description/nav--primary__level0-link_font",""
"scss/description/nav--primary__level0-link_font-weight",""
"scss/description/nav--primary__level0-link_font-size",""
"scss/description/nav--primary__level0-link_line-height",""
"scss/description/nav--primary__level0-link_text-transform",""
"scss/description/nav--primary__level0-link_padding","Link Abstand vom Rand (innerer Bereich der Navigation)"
"scss/description/nav--primary__level0-link_padding-top",""
"scss/description/nav--primary__level0-link_padding-right",""
"scss/description/nav--primary__submenu_background-color","Hintergrundfarbe der Navigation Level 2"
"scss/description/nav--primary__submenu_color","Textfarbe der Navigation Level 2"
"scss/description/nav--primary__level1-link_font",""
"scss/description/nav--primary__level1-link_font-weight",""
"scss/description/nav--primary__level1-link_font-size",""
"scss/description/nav--primary__level1-link_line-height",""
"scss/description/nav--primary__level1-link_text-transform",""
"scss/description/nav--primary__ul-level0-link_padding","Jeder Link Abstand vom Rand (innerer Bereich der Navigation)"
"scss/description/nav--primary__level0-list_padding-global",""
"scss/description/nav--primary__level2_background-color","Hintergrundfarbe Navigation Level 3"
"scss/description/nav--primary__level2-link_color","Textfarbe der Navigation Level 3"
"scss/description/nav--primary__level2-link_font",""
"scss/description/nav--primary__level2-link_font-weight",""
"scss/description/nav--primary__level2-link_font-size",""
"scss/description/nav--primary__level2-link_text-transform",""
"scss/description/nav--primary__level2-link_padding",""
"scss/description/nav--primary__level2-link_padding-top","Navigation Level 2 innerer Abstand"
"scss/description/nav--primary__level2-link_padding-right",""
"scss/description/nav--primary__level3_background-color","Hintergrundfarbe der Navigation Level 4"
"scss/description/nav--primary__level3-link_color","Textfarbe Navigation Level 4"
"scss/description/nav--primary__level3-link_font",""
"scss/description/nav--primary__level3-link_font-weight",""
"scss/description/nav--primary__level3-link_font-size",""
"scss/description/nav--primary__level3-link_text-transform",""
"scss/description/nav--primary__level3-link_padding",""
"scss/description/nav--primary__level3-link_padding-top",""
"scss/description/nav--primary__level3-link_padding-right",""
"scss/description/nav--primary__level4_background-color","Hintergrundfarbe der Navigation Level 5"
"scss/description/nav--primary__level4-link_color","Textfarbe Navigation Level 5."
"scss/description/nav--primary__level4-link_font",""
"scss/description/nav--primary__level4-link_font-weight",""
"scss/description/nav--primary__level4-link_font-size",""
"scss/description/nav--primary__level4-link_text-transform",""
"scss/description/nav--primary__level4-link_padding",""
"scss/description/nav--primary__level4-link_padding-top",""
"scss/description/nav--primary__level4-link_padding-right",""
"scss/description/nav__button_background-color","Navigation Button Hintergrundfarbe"
"scss/description/nav__button_color","Navigation Button Textfarbe"
"scss/description/nav__button_font",""
"scss/description/nav__button_font-weight",""
"scss/description/nav__button_font-size",""
"scss/description/nav__button_text-transform",""
"scss/description/button_background-color","Button Hintergrundfarbe außer Action und Coupon Buttons"
"scss/description/button_color","Button Textfarbe"
"scss/description/button-action_background-color","Action Button Hintergrundfarbe"
"scss/description/button-action_color","Action Button Textfarbe"
"scss/description/add-to-links_color","Zum Wunschzettel hinzufügen / Vergleichen Textfarbe"
"scss/description/add-to-links_font",""
"scss/description/add-to-links_text-transform",""
"scss/description/add-to-links_font-size",""
"scss/description/preloader__cicle-1_stroke","Farbe des ersten Kreises des Ladesymbols"
"scss/description/preloader__cicle-2_stroke","Farbe des zweiten Kreises des Ladesymbols"
"scss/description/products-grid__item-inner_background-color","Hintergrundfarbe jedes Produkt-Listings"
"scss/description/products-grid__product-box_text-align",""
"scss/description/products-list__product-box_text-align",""
"scss/description/products-list__item__product-image_background-color","Bild Hintergrundfarbe jeder Produktvorschau"
"scss/description/product-category__title_color","Textfarbe der Überschrift der Kategorie- und Suchergebnis-Seite"
"scss/description/product-category__title_font",""
"scss/description/product-category__title_font-size",""
"scss/description/product-category__title_font-weight",""
"scss/description/product-category__title_font-family",""
"scss/description/product-category__title_font-style",""
"scss/description/products-grid__item__product-name_color","Textfarbe Produktname"
"scss/description/products-grid__item__product-name_font",""
"scss/description/products-grid__item__product-name_font-weight",""
"scss/description/products-grid__item__product-name_font-style",""
"scss/description/products-grid__item__product-name_font-family",""
"scss/description/products-grid__item__product-name_font-size",""
"scss/description/products-grid__item__product-name_line-height",""
"scss/description/products-grid__item__product-name_text-transform",""
"scss/description/products-list__item__product-name_margin",""
"scss/description/products-list__item__product-name_margin-bottom","Abstand unter Produktname"
"scss/description/products-grid__item__price_color","Preisfarbe der Produktliste"
"scss/description/product_price_list_font",""
"scss/description/products-grid__item__price_font-weight",""
"scss/description/products-grid__item__price_font-style",""
"scss/description/products-grid__item__price_font-family",""
"scss/description/products-grid__item__price_font-size",""
"scss/description/products-grid__item__price_line-height",""
"scss/description/products-list__item__price_margin",""
"scss/description/products-list__item__price_margin-bottom","Abstand unter Produktprice"
"scss/description/products-grid__item__characteristics_color","Textfarbe Steuer in Produktlisten"
"scss/description/products-list__item__actions_margin",""
"scss/description/products-list__item__actions_margin-top","Abstand über Action Buttons"
"scss/description/product-view__product-image_background-color",""
"scss/description/product-view__product-name_color","Farbe Produktname"
"scss/description/product_title_font",""
"scss/description/product-view__product-name_font-family",""
"scss/description/product-view__product-name_font-weight",""
"scss/description/product-view__product-name_font-size",""
"scss/description/product-view__product-name_font-style",""
"scss/description/product-view__product-name_line-height",""
"scss/description/product-view__product-name_text-transform",""
"scss/description/product-view__price_color",""
"scss/description/product_price_font",""
"scss/description/product-view__price_font-family",""
"scss/description/product-view__price_font-weight",""
"scss/description/product-view__price_font-size",""
"scss/description/product-view__price_font-style",""
"scss/description/product-view__price_line-height",""
"scss/description/product-view__add-to-cart__button_background-color","Hintergrundfarbe von ""In den Warenkorb"" Buttons"
"scss/description/product-view__add-to-cart__button_color","Textfarbe von ""In den Warenkorb"" Buttons"
"scss/description/product-view__add-to-cart__button_font",""
"scss/description/product-view__add-to-cart__button_font-weight",""
"scss/description/product-view__add-to-cart__button_font-size",""
"scss/description/product-view__add-to-cart__button_text-transform",""
"scss/description/product-view__product-collateral__list__item-active_background-color","Hintergrundfarbe von aktiven Tabs"
"scss/description/product-view__product-collateral__list__item_color","Textfarbe der Tabs"
"scss/description/product-view__product-collateral__list__item-active_color","Textfarbe aktiver Tabs"
"scss/description/product-view__availability_display","Anzeigemodus des Verfügbarkeits-Hinweises"
"scss/description/product-view__availability__in-stock_color","Textfarbe ""Auf Lager"""
"scss/description/product-view__availability__out-of-stock_color","Textfarbe von ""Nicht auf Lager"""
"scss/description/product-view__availability_font",""
"scss/description/product-view__availability__font-weight",""
"scss/description/product-view__availability__font-size",""
"scss/description/product-view__availability_text-transform",""
"scss/description/product-view__product-options__required_color","Textfarbe für Artikelnummer und Artikeleigenschaften (außer Einfache Produkte)"
"scss/description/product-view__product-options__required_font",""
"scss/description/product-view__product-options__required_text-transform",""
"scss/description/product-view__product-options__required_font-size",""
"scss/description/product-view__sku_display","Anzeigemodus der Artikelnummer"
"scss/description/products-grid__item__tax-details_display","Anzeigemodus der Steuer"
"scss/description/product-view__add-to-cart__input_display","Anzeigemodus der Produktanzahl"
"scss/description/product-view__product-shop__breadcrumbs_display","Anzeigemodus der Brotkrumennavigation"
"scss/description/cart-table_background-color","Hintergrundfarbe der Elemente im Warenkorb"
"scss/description/cart-table__product-image_background-color","Bild Hintergrundfarbe jeder Produktvorschau"
"scss/description/cart-table__product-name_color","Textfarbe Produktname"
"scss/description/cart-table__product-name_font",""
"scss/description/cart-table__product-name_font-weight",""
"scss/description/cart-table__product-name_font-size",""
"scss/description/cart-table__product-price_color","Preisfarbe"
"scss/description/cart-table__product-price_font",""
"scss/description/cart-table__product-price_font-weight",""
"scss/description/cart-table__product-price_font-size",""
"scss/description/cart-table__item-options_color","Textfarbe Artikeleigenschaften"
"scss/description/cart-table__item-options_font",""
"scss/description/cart-table__item-options_font-size",""
"scss/description/cart-table__product-sku_display","Anzeigemodus der Artikelnummer"
"scss/description/cart-table__sku-label_color","Textfarbe Artikelnummer und Artikeleigenschaften"
"scss/description/cart-table__sku-label_font",""
"scss/description/cart-table__sku-label_font-size",""
"scss/description/cart__btn-checkout_background-color","Hintergrundfarbe des ""Zur Kasse gehen"" Buttons"
"scss/description/cart__btn-checkout_color","Textfarbe des ""Zur Kasse gehen"" Buttons"
"scss/description/cart__discount__button_background-color","Hintergrundfarbe des ""Code einlösen"" Buttons"
"scss/description/cart__discount__button_color","Textfarbe des ""Code einlösen"" Buttons"
"scss/description/cart__cart-totals__table_background-color","Hintergrundfarbe des Bereichs Gesamtsumme"
"scss/description/cart__cart-totals__table_color","Textfarbe des Bereichs Gesamtsumme"
"scss/description/cart__cart-totals__total_color","Textfarbe Gesamtsumme"
"scss/description/checkout-onepage__step-title_color","Textfarbe der Bestellschritt-Überschriften"
"scss/description/checkout-onepage__step-title_active_color","Textfarbe aktiver Bestellschritt-Überschriften"
"scss/description/checkout-onepage__step-title_border-bottom-color","Linienfarbe zwischen den Bestellschritten"
"scss/description/checkout-onepage__step-title_font",""
"scss/description/checkout-onepage__step-title_font-weight",""
"scss/description/checkout-onepage__step-title_font-size",""
"scss/description/checkout-onepage__step-title_text-transform",""
"scss/description/checkout-onepage__buttons_background-color","Hintergrundfarbe der Buttons der Bestellseite"
"scss/description/checkout-onepage__buttons_color","Textfarbe der Buttons im Bestellprozess"
