"scss/description/cart-table__product-sku_display","Display mode of Sku"
"scss/description/cart-table__sku-label_color","Sku and Label text color"
"scss/description/cart-table__sku-label_font",""
"scss/description/cart-table_background-color","Background color of Cart item"
"scss/description/checkout-onepage__buttons_background-color","Background color of buttons on checkout page"
"scss/description/checkout-onepage__buttons_color","Text color of buttons on checkout page"
"scss/description/checkout-onepage__buttons_font",""
"scss/description/checkout-onepage__progress-title_background-color","Background color of progress section title"
"scss/description/checkout-onepage__progress-title_color","Text color of Progress section title"
"scss/description/checkout-onepage__progress-title_font",""
"scss/description/checkout-onepage__step-title_active_color","Text color of active step title"
"scss/description/checkout-onepage__step-title_border-bottom-color","Border bottom color of step title"
"scss/description/checkout-onepage__step-title_color","Text color of step title"
"scss/description/checkout-onepage__step-title_font",""
"scss/description/color--fifth",""
"scss/description/color--fourth","Used to create other colors"
"scss/description/color--primary","Used for text where color is not particularly set, buttons background and to create other colors"
"scss/description/color--secondary","Used for background, navigation level 0 text, buttons text and to create other colors"
"scss/description/color--third","Used as background for action buttons, Cart counter, availability ""in stock"", links and to create other colors"
"scss/description/data-table__td_background-color","Body background color of data tables"
"scss/description/data-table__td_color","Body text color of data tables"
"scss/description/data-table__th_background-color","Header background color of data tables"
"scss/description/data-table__th_color","Header text color of data tables"
"scss/description/data-table_border-color","Border color of data tables"
"scss/description/font_base","General font, used in all sections where font is not particularly set"
"scss/description/font-family-base","General font family"
"scss/description/font-size","General font size"
"scss/description/font-style","General font style"
"scss/description/font-weight","General font weight"
"scss/description/google_fonts","Select the Google Fonts you would like to enable in your website"
"scss/description/header_separator-line_border-color","Links separator line"
"scss/description/input-text_background-color",""
"scss/description/input-text_border",""
"scss/description/input-text_border-color",""
"scss/description/letter-spacing",""
"scss/description/line-height","General line height"
"scss/description/message--error__background-color","Background color of error message"
"scss/description/message--notice_background-color","Background color of notice message"
"scss/description/message--success_background-color","Background color of success message"
"scss/description/mini-cart__block-content_background-color","Background color of Mini-Cart block"
"scss/description/mini-cart__block-content_color","Text color of Mini-Cart block"
"scss/description/mini-cart__link_color","Mini-Cart link color"
"scss/description/mini-cart__link--hover_color","Cart link color on hover"
"scss/description/nav__button_background-color","Navigation button background color"
"scss/description/nav__button_color","Navigation button text color"
"scss/description/nav__button_font",""
"scss/description/nav--primary__level0-link_color","First level text color"
"scss/description/nav--primary__level0-link_font",""
"scss/description/nav--primary__level0-link_padding","Link padding (navigation inner space)"
"scss/description/nav--primary__level0-link_padding-right",""
"scss/description/nav--primary__level0-link_padding-top",""
"scss/description/nav--primary__level0-link--hover_color","First level text color on hover"
"scss/description/nav--primary__level0-list_padding-global",""
"scss/description/nav--primary__level0-list-separator_color","Color of separator line between navigation links"
"scss/description/nav--primary__level1-link_font",""
"scss/description/nav--primary__level2_background-color","Background color of third level of Navigation"
"scss/description/nav--primary__level2-link_color","Text color of third level of Navigation"
"scss/description/nav--primary__level2-link_font",""
"scss/description/nav--primary__level2-link_padding",""
"scss/description/nav--primary__level2-link_padding-right",""
"scss/description/nav--primary__level2-link_padding-top","Navigation Second Level Item Padding"
"scss/description/nav--primary__level3_background-color","Background color of fourth level of Navigation"
"scss/description/nav--primary__level3-link_color","Text color of fourth level of Navigation"
"scss/description/nav--primary__level3-link_font",""
"scss/description/nav--primary__level3-link_padding",""
"scss/description/nav--primary__level3-link_padding-right",""
"scss/description/nav--primary__level3-link_padding-top",""
"scss/description/nav--primary__level4_background-color","Background color of fifth level of Navigation"
"scss/description/nav--primary__level4-link_color","Text color of fifth level of Navigation"
"scss/description/nav--primary__level4-link_font",""
"scss/description/nav--primary__level4-link_padding",""
"scss/description/nav--primary__level4-link_padding-right",""
"scss/description/nav--primary__level4-link_padding-top",""
"scss/description/nav--primary__submenu_background-color","Background color of second level of Navigation"
"scss/description/nav--primary__submenu_color","Text color of second level of Navigation"
"scss/description/nav--primary__ul-level0-link_padding","Each link padding (navigation inner space)"
"scss/description/nav--primary_background-color","Navigation background color Level 1"
"scss/description/page_background-color","Background color on each page"
"scss/description/page_color","Text color on each page (where color is not particularly set)"
"scss/description/page_size",""
"scss/description/page-container_background-color","Container background color on each page"
"scss/description/page-footer__link--hover_color","Footer link color on hover"
"scss/description/page-footer__marketing-box--newsletter_color","Footer text color on Newsletter section"
"scss/description/page-footer__marketing-box--shipping_color","Footer text color on left section"
"scss/description/page-footer__marketing-box--support_color","Footer text color on middle section"
"scss/description/page-footer_background-color",""
"scss/description/page-footer_color","Footer text color"
"scss/description/page-footer_link-color","Footer link color"
"scss/description/page-header_background-color","Header background color"
"scss/description/page-header_color","Header text color like: Cart text, active links and links on hover"
"scss/description/page-header_link_color","Header link color except Cart text and active link"
"scss/description/page-main_background-color","Container background color except header and footer"
"scss/description/page-main_color","Container text color (where is not particularly set) except header and footer"
"scss/description/page-subtitle_color","Text color of Related, Upsells, Homepage, New Products subtitles"
"scss/description/page-subtitle_font",""
"scss/description/page-title_color","Text color of page title on Checkout, Cart, Product Detail, Compare, Login, Register, Success pages"
"scss/description/page-title_font",""
"scss/description/preloader__cicle-1_stroke","Color of first cicle of Preloader"
"scss/description/preloader__cicle-2_stroke","Color of second cicle of Preloader"
"scss/description/product_price_font",""
"scss/description/product_price_list_font",""
"scss/description/product_title_font",""
"scss/description/product-category__title_color","Text color of Category page and Search Results title"
"scss/description/product-category__title_font",""
"scss/description/product-compare__item__product-image_background-color","Image background color of each compare list item"
"scss/description/product-view__add-to-cart__button_background-color","Background color of ""Add To Cart"" button"
"scss/description/product-view__add-to-cart__button_color","Text color of ""Add To Cart"" button"
"scss/description/product-view__add-to-cart__button_font",""
"scss/description/product-view__add-to-cart__input_display","Display mode of quantity input"
"scss/description/product-view__availability__in-stock_color","Text color of ""In Stock"" text"
"scss/description/product-view__availability__out-of-stock_color","Color of ""Out Of Stock"" text"
"scss/description/product-view__availability_display","Display mode of Availability text"
"scss/description/product-view__availability_font",""
"scss/description/product-view__price_color",""
"scss/description/product-view__product-collateral__list__item_color","Text color of tabs"
"scss/description/product-view__product-collateral__list__item-active_background-color","Background color of active tab"
"scss/description/product-view__product-collateral__list__item-active_color","Text color of active tab"
"scss/description/product-view__product-image_background-color",""
"scss/description/product-view__product-name_color","Product name color"
"scss/description/product-view__product-options__required_color","Text color for Sku and Label (except simple products)"
"scss/description/product-view__product-options__required_font",""
"scss/description/product-view__product-shop__breadcrumbs_display","Display mode of breadcrumbs"
"scss/description/product-view__sku_display","Display mode of Sku"
"scss/description/products-grid__item__characteristics_color","Text color for tax hint on category page"
"scss/description/products-grid__item__price_color","Price color from Product List"
"scss/description/products-grid__item__product-name_color","Product name text color"
"scss/description/products-grid__item__product-name_font",""
"scss/description/products-grid__item__tax-details_display","Display mode of tax"
"scss/description/products-grid__item-inner_background-color","Background color of each product listing item"
"scss/description/products-grid__product-box_text-align",""
"scss/description/products-list__item__actions_margin",""
"scss/description/products-list__item__actions_margin-top","Spacing above action buttons"
