"scss/description/badge--sale_background-color","Culoare fundal etichetă ""Reducere"""
"scss/description/badge--sale_color","Culoare text etichetă ""Reducere"""
"scss/description/badge--sale_display","Mod afişare etichetă ""Reducere"""
"scss/description/block__block-title_background-color","Culoare fundal pentru titluri laterale (ex: Produse vizualizate recent, Tag-uri, PayPal, Listă de dorințe)"
"scss/description/block__block-title_color","Culoare text pentru titluri laterale (ex: Produse vizualizate recent, Tag-uri, PayPal, Listă de dorințe)"
"scss/description/block-layered-nav__title_color",""
"scss/description/block-layered-nav__title_font",""
"scss/description/breadcrumbs__leaf_color","Culoare generală cale pagină pentru pagina activă"
"scss/description/breadcrumbs_color","Culoare text cale pagină pe fiecare pagină"
"scss/description/breadcrumbs_display","Mod afişare cale pagină pe fiecare pagină"
"scss/description/breadcrumbs_font",""
"scss/description/button_background-color","Culoare fundal butone exceptând butoane de acţiune si cupon"
"scss/description/button_color","Culoare text buton"
"scss/description/button-action_background-color","Culoare fundal buton acţiune"
"scss/description/button-action_color","Culoare text buton acţiune"
"scss/description/cart__btn-checkout_background-color","Culoare fundal buton ""Continuă finalizare comandă"""
"scss/description/cart__btn-checkout_color","Culoare text buton ""Continuă finalizare comandă"""
"scss/description/cart__cart-totals__table_background-color","Culoare fundal secţiune Total"
"scss/description/cart__cart-totals__table_color","Culoarea textului din secțiunea Total"
"scss/description/cart__cart-totals__total_color","Culoarea textului din secțiunea Total General"
"scss/description/cart__discount__button_background-color","Culoare fundal buton ""Aplică cod"""
"scss/description/cart__discount__button_color","Culoare text buton ""Aplică cod"""
"scss/description/cart-table__item-options_color","Culoare text opţiuni produs"
"scss/description/cart-table__item-options_font",""
"scss/description/cart-table__product-image_background-color","Fundal imagine articol din Coş"
"scss/description/cart-table__product-name_color","Culoare nume produs"
"scss/description/cart-table__product-name_font",""
"scss/description/cart-table__product-price_color","Culoare preţ"
"scss/description/cart-table__product-price_font",""
"scss/description/cart-table__product-sku_display","Mod afişare SKU"
"scss/description/cart-table__sku-label_color","Culoare text Sku şi Etichetă"
"scss/description/cart-table__sku-label_font",""
"scss/description/cart-table_background-color","Culoare fundal articol din Coş"
"scss/description/checkout-onepage__buttons_background-color","Culoare fundal butoane din pagina Finalizare comandă"
"scss/description/checkout-onepage__buttons_color","Culoare text butoane din pagina Finalizare comandă"
"scss/description/checkout-onepage__buttons_font",""
"scss/description/checkout-onepage__progress-title_background-color","Culoare fundal titlu din secţiunea de progres a comenzii"
"scss/description/checkout-onepage__progress-title_color","Culoare titlu din secţiunea de progres a comenzii"
"scss/description/checkout-onepage__progress-title_font",""
"scss/description/checkout-onepage__step-title_active_color","Culoare titlu activ paşi comandă"
"scss/description/checkout-onepage__step-title_border-bottom-color","Culoare border sub titlu paşi comandă"
"scss/description/checkout-onepage__step-title_color","Culoare titlu paşi comandă"
"scss/description/checkout-onepage__step-title_font",""
"scss/description/color--fifth",""
"scss/description/color--fourth","Folosită pentru a creea alte culori"
